;DATE;PRODUCT_ID;SALES
0;2014-01-01;0;6
1;2014-01-02;0;5
2;2014-01-03;0;6
3;2014-01-04;0;3
4;2014-01-05;0;3
5;2014-01-06;0;5
6;2014-01-07;0;5
7;2014-01-08;0;2
8;2014-01-09;0;8
9;2014-01-10;0;4
10;2014-01-11;0;5
11;2014-01-12;0;1
12;2014-01-13;0;6
13;2014-01-14;0;5
14;2014-01-15;0;7
15;2014-01-16;0;9
16;2014-01-17;0;4
17;2014-01-18;0;4
18;2014-01-19;0;1
19;2014-01-20;0;6
20;2014-01-21;0;5
21;2014-01-22;0;5
22;2014-01-23;0;4
23;2014-01-24;0;4
24;2014-01-25;0;4
25;2014-01-26;0;3
26;2014-01-27;0;5
27;2014-01-28;0;4
28;2014-01-29;0;6
29;2014-01-30;0;5
30;2014-01-31;0;3
31;2014-02-01;0;4
32;2014-02-02;0;2
33;2014-02-03;0;6
34;2014-02-04;0;4
35;2014-02-05;0;6
36;2014-02-06;0;4
37;2014-02-07;0;6
38;2014-02-08;0;5
39;2014-02-09;0;2
40;2014-02-10;0;3
41;2014-02-11;0;3
42;2014-02-12;0;6
43;2014-02-13;0;4
44;2014-02-14;0;7
45;2014-02-15;0;9
46;2014-02-16;0;5
47;2014-02-17;0;4
48;2014-02-18;0;4
49;2014-02-19;0;2
50;2014-02-20;0;5
51;2014-02-21;0;3
52;2014-02-22;0;5
53;2014-02-23;0;5
54;2014-02-24;0;3
55;2014-02-25;0;5
56;2014-02-26;0;2
57;2014-02-27;0;2
58;2014-02-28;0;3
59;2014-03-01;0;3
60;2014-03-02;0;5
61;2014-03-03;0;4
62;2014-03-04;0;2
63;2014-03-05;0;2
64;2014-03-06;0;4
65;2014-03-07;0;5
66;2014-03-08;0;1
67;2014-03-09;0;6
68;2014-03-10;0;3
69;2014-03-11;0;3
70;2014-03-12;0;3
71;2014-03-13;0;4
72;2014-03-14;0;11
73;2014-03-15;0;3
74;2014-03-16;0;3
75;2014-03-17;0;5
76;2014-03-18;0;3
77;2014-03-19;0;3
78;2014-03-20;0;2
79;2014-03-21;0;3
80;2014-03-22;0;3
81;2014-03-23;0;3
82;2014-03-24;0;2
83;2014-03-25;0;2
84;2014-03-26;0;7
85;2014-03-27;0;2
